Month, KFPA
Jan, 499613
Feb, 309675
Mar, 285682
Apr, 354046
May, 92355
Jun, 67139
Jul, 0
Aug, 65922
Sep, 331170
Oct, 548745
Nov, 504034
Dec, 532675
