Reciver + Backend, Time
Rcvr1_2 + Spectrometer, 34457052
Rcvr1_2 + SpectralProcessor, 15113600
Rcvr18_26 + Spectrometer, 14579710
RcvrPF_1 + GUPPI, 12498368
Rcvr8_10 + VLBA_DAR, 7207038
