Year, Rcvr1_2
2002, 536394
2003, 5378350
2004, 4151506
2005, 5328824
2006, 6474666
2007, 3516839
2008, 6359213
2009, 4851691
2010, 6506918
2011, 7164837
2012, 6745909
































