Year, Rcvr1_2, RcvrPF_1, Rcvr18_26, RcvrArray18_26
2002, 536394, 34735, 0, 0
2003, 5378350, 2228077, 1878177, 0
2004, 4151506, 1761469, 3012383, 0
2005, 5328824, 1948376, 2383424, 0
2006, 6474666, 1073282, 3228019, 0
2007, 3516839, 921809, 1638576, 0
2008, 6359213, 852050, 2370465, 0
2009, 4851691, 3052110, 1803104, 0
2010, 6506918, 5594349, 1996117, 81878
2011, 7164837, 4030314, 361352, 1671494
2012, 6745909, 3236857, 15774, 1837684
