User, Hours
Megan Johnson, 411
Scott Ransom, 190
Carl Melis, 137
Ingrid Stairs, 119
Ryan Lynch, 117
Spencer Wolfe, 104
Toney Minter, 90
Jim Braatz, 89
David Frayer, 87
Kevin Stovall, 84
